ZIP,CBSA,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
01243,44140,0.000000000,1.000000000,1.000000000,1.000000000
01244,38340,0.000000000,1.000000000,1.000000000,1.000000000
01245,38340,1.000000000,1.000000000,1.000000000,1.000000000
01247,44140,0.003436057,0.000000000,0.000000000,0.002927722
01247,38340,0.996563943,1.000000000,1.000000000,0.997072278
01252,38340,0.000000000,0.000000000,1.000000000,1.000000000
01253,38340,1.000000000,1.000000000,1.000000000,1.000000000
01254,38340,1.000000000,1.000000000,1.000000000,1.000000000
01255,38340,1.000000000,1.000000000,1.000000000,1.000000000
01256,38340,1.000000000,1.000000000,1.000000000,1.000000000
01257,38340,1.000000000,1.000000000,1.000000000,1.000000000
01258,38340,1.000000000,1.000000000,1.000000000,1.000000000
01259,38340,1.000000000,1.000000000,1.000000000,1.000000000
01260,38340,0.000000000,0.000000000,1.000000000,1.000000000
01262,38340,0.000000000,0.000000000,1.000000000,1.000000000
01263,38340,0.000000000,1.000000000,0.000000000,1.000000000
01264,38340,0.000000000,0.000000000,1.000000000,1.000000000
01266,38340,1.000000000,1.000000000,1.000000000,1.000000000
01267,38340,1.000000000,1.000000000,1.000000000,1.000000000
01270,38340,1.000000000,1.000000000,1.000000000,1.000000000
01301,44140,1.000000000,1.000000000,1.000000000,1.000000000
01302,44140,1.000000000,1.000000000,1.000000000,1.000000000
01330,44140,1.000000000,1.000000000,1.000000000,1.000000000
01331,44140,0.001592610,0.002433090,0.000000000,0.001573002
01331,49340,0.998407390,0.997566910,1.000000000,0.998426998
01337,44140,1.000000000,1.000000000,1.000000000,1.000000000
01338,44140,1.000000000,1.000000000,1.000000000,1.000000000
01339,44140,1.000000000,1.000000000,1.000000000,1.000000000
01340,44140,1.000000000,1.000000000,1.000000000,1.000000000
01341,44140,1.000000000,1.000000000,1.000000000,1.000000000
01342,44140,1.000000000,1.000000000,1.000000000,1.000000000
01343,44140,0.022471910,0.000000000,0.000000000,0.021276596
01343,38340,0.977528090,1.000000000,1.000000000,0.978723404
01344,44140,1.000000000,1.000000000,1.000000000,1.000000000
01346,44140,1.000000000,0.000000000,1.000000000,1.000000000
01347,44140,0.000000000,0.000000000,1.000000000,1.000000000
01349,44140,1.000000000,1.000000000,1.000000000,1.000000000
01350,44140,1.000000000,1.000000000,1.000000000,1.000000000
01351,44140,1.000000000,1.000000000,1.000000000,1.000000000
01354,44140,1.000000000,1.000000000,1.000000000,1.000000000
01355,44140,1.000000000,1.000000000,1.000000000,1.000000000
01360,44140,1.000000000,1.000000000,1.000000000,1.000000000
01364,49340,0.002191781,0.005449591,0.000000000,0.002366864
01364,44140,0.997808219,0.994550409,1.000000000,0.997633136
01366,49340,1.000000000,1.000000000,1.000000000,1.000000000
01367,44140,0.932038835,0.937500000,1.000000000,0.933130699
01367,38340,0.067961165,0.062500000,0.000000000,0.066869301
01368,49340,1.000000000,1.000000000,1.000000000,1.000000000
01370,44140,1.000000000,1.000000000,1.000000000,1.000000000
01373,44140,1.000000000,1.000000000,1.000000000,1.000000000
01375,44140,1.000000000,1.000000000,1.000000000,1.000000000
01376,44140,1.000000000,1.000000000,1.000000000,1.000000000
01378,44140,1.000000000,1.000000000,1.000000000,1.000000000
01379,44140,1.000000000,1.000000000,1.000000000,1.000000000
01380,44140,1.000000000,0.000000000,1.000000000,1.000000000
01420,49340,1.000000000,1.000000000,1.000000000,1.000000000
01430,49340,1.000000000,1.000000000,1.000000000,1.000000000
01431,49340,0.001712329,0.000000000,0.000000000,0.001633987
01431,14460,0.998287671,1.000000000,1.000000000,0.998366013
01432,14460,1.000000000,1.000000000,1.000000000,1.000000000
01434,49340,0.817869416,0.882154882,0.640000000,0.833855799
01434,14460,0.182130584,0.117845118,0.360000000,0.166144201
01436,49340,1.000000000,1.000000000,1.000000000,1.000000000
01438,49340,1.000000000,0.000000000,1.000000000,1.000000000
01440,49340,1.000000000,1.000000000,1.000000000,1.000000000
01441,49340,0.000000000,0.000000000,1.000000000,1.000000000
01450,14460,1.000000000,1.000000000,1.000000000,1.000000000
01451,49340,0.988846288,1.000000000,1.000000000,0.990003124
01451,14460,0.011153712,0.000000000,0.000000000,0.009996876
01452,49340,1.000000000,1.000000000,1.000000000,1.000000000
01453,49340,1.000000000,1.000000000,1.000000000,1.000000000
01460,14460,0.998276976,1.000000000,1.000000000,0.998510242
01460,49340,0.001723024,0.000000000,0.000000000,0.001489758
01462,49340,0.998687910,1.000000000,1.000000000,0.998778360
01462,14460,0.001312090,0.000000000,0.000000000,0.001221640
01463,14460,1.000000000,1.000000000,1.000000000,1.000000000
01464,14460,1.000000000,1.000000000,1.000000000,1.000000000
01467,49340,0.000000000,0.000000000,1.000000000,1.000000000
01468,49340,1.000000000,1.000000000,1.000000000,1.000000000
01469,14460,1.000000000,1.000000000,1.000000000,1.000000000
01472,14460,0.000000000,0.000000000,1.000000000,1.000000000
01473,49340,1.000000000,1.000000000,1.000000000,1.000000000
01474,14460,1.000000000,1.000000000,1.000000000,1.000000000
01475,49340,1.000000000,1.000000000,1.000000000,1.000000000
01501,49340,1.000000000,1.000000000,1.000000000,1.000000000
01503,14460,0.000000000,0.011627907,0.000000000,0.000869565
01503,49340,1.000000000,0.988372093,1.000000000,0.999130435
01504,49340,0.998418139,1.000000000,1.000000000,0.998566308
01504,14460,0.001581861,0.000000000,0.000000000,0.001433692
01505,49340,1.000000000,1.000000000,1.000000000,1.000000000
01506,49340,1.000000000,1.000000000,1.000000000,1.000000000
01507,49340,1.000000000,1.000000000,1.000000000,1.000000000
01508,49340,1.000000000,0.000000000,1.000000000,1.000000000
01509,49340,1.000000000,0.000000000,1.000000000,1.000000000
01510,49340,1.000000000,1.000000000,1.000000000,1.000000000
01515,49340,1.000000000,1.000000000,1.000000000,1.000000000
01516,49340,1.000000000,1.000000000,1.000000000,1.000000000
01518,49340,1.000000000,1.000000000,1.000000000,1.000000000
