GEOID1,STATE,NET_COUNTY,NET_PERM,NET_TEMP,NET_RESIDENTIAL,FULL1_NAME,net,difference
42107,PA,-1618,-1303,-217,-1552,"Schuylkill County, Pennsylvania",-2465,-847
28059,MS,-946,-988,7,-998,"Jackson County, Mississippi",-1793,-847
37109,NC,1360,1290,50,1284,"Lincoln County, North Carolina",522,-838
48037,TX,-1480,-1503,-54,-1407,"Bowie County, Texas",-2314,-834
48225,TX,110,156,-27,77,"Houston County, Texas",-717,-827
31025,NE,191,268,-63,156,"Cass County, Nebraska",-634,-825
72039,PR,-53,-50,0,-38,"Ciales Municipio, Puerto Rico",-869,-816
45057,SC,1933,1989,-68,1802,"Lancaster County, South Carolina",1118,-815
28151,MS,-477,-466,-10,-457,"Washington County, Mississippi",-1278,-801
22075,LA,5,-4,0,78,"Plaquemines Parish, Louisiana",-794,-799
22115,LA,-840,-816,-52,-776,"Vernon Parish, Louisiana",-1635,-795
13199,GA,190,119,60,34,"Meriwether County, Georgia",-602,-792
51195,VA,-671,-644,0,-648,"Wise County, Virginia",-1461,-790
51187,VA,428,422,43,388,"Warren County, Virginia",-358,-786
40091,OK,-139,-78,-33,-127,"McIntosh County, Oklahoma",-913,-774
47007,TN,412,579,-86,403,"Bledsoe County, Tennessee",-360,-772
45023,SC,49,81,-66,-3,"Chester County, South Carolina",-715,-764
72045,PR,-27,-22,0,-51,"Comerío Municipio, Puerto Rico",-783,-756
29099,MO,-669,-594,-151,-773,"Jefferson County, Missouri",-1420,-751
72119,PR,2,18,-12,47,"Río Grande Municipio, Puerto Rico",-744,-746
22045,LA,-425,-423,-36,-313,"Iberia Parish, Louisiana",-1169,-744
37153,NC,-316,-316,-2,-304,"Richmond County, North Carolina",-1058,-742
51103,VA,8,126,-63,-127,"Lancaster County, Virginia",-728,-736
72041,PR,-29,-20,0,-15,"Cidra Municipio, Puerto Rico",-758,-729
49019,UT,-37,-60,21,-36,"Grand County, Utah",-766,-729
37073,NC,1,-39,0,-62,"Gates County, North Carolina",-717,-718
23017,ME,14,-69,74,-184,"Oxford County, Maine",-699,-713
37121,NC,-21,-169,152,-44,"Mitchell County, North Carolina",-734,-713
48379,TX,427,433,0,481,"Rains County, Texas",-284,-711
51085,VA,2032,2000,3,1975,"Hanover County, Virginia",1322,-710
72117,PR,247,106,150,253,"Rincón Municipio, Puerto Rico",-460,-707
72147,PR,99,25,68,90,"Vieques Municipio, Puerto Rico",-601,-700
37149,NC,516,201,292,506,"Polk County, North Carolina",-178,-694
44001,RI,231,257,-56,202,"Bristol County, Rhode Island",-443,-674
27139,MN,142,705,-609,254,"Scott County, Minnesota",-532,-674
21131,KY,5,9,0,-31,"Leslie County, Kentucky",-667,-672
28149,MS,-299,-314,-2,-322,"Warren County, Mississippi",-966,-667
72111,PR,47,41,0,13,"Peñuelas Municipio, Puerto Rico",-617,-664
13277,GA,-203,-210,-36,-169,"Tift County, Georgia",-865,-662
13241,GA,246,72,115,187,"Rabun County, Georgia",-411,-657
13133,GA,702,759,-17,678,"Greene County, Georgia",50,-652
51007,VA,-1,5,0,-64,"Amelia County, Virginia",-646,-645
31153,NE,-146,80,-219,-130,"Sarpy County, Nebraska",-789,-643
54065,WV,218,217,-30,189,"Morgan County, West Virginia",-422,-640
13289,GA,-507,-502,4,-571,"Twiggs County, Georgia",-1146,-639
47073,TN,256,373,-48,175,"Hawkins County, Tennessee",-380,-636
30027,MT,-100,-47,-74,-48,"Fergus County, Montana",-736,-636
1065,AL,24,71,0,98,"Hale County, Alabama",-607,-631
48199,TX,-357,-331,-76,-456,"Hardin County, Texas",-985,-628
48489,TX,295,-330,661,326,"Willacy County, Texas",-329,-624
21133,KY,9,-22,0,-83,"Letcher County, Kentucky",-612,-621
29091,MO,-642,-610,-4,-568,"Howell County, Missouri",-1263,-621
54001,WV,-363,-362,-23,-479,"Barbour County, West Virginia",-983,-620
51135,VA,-93,-81,0,-157,"Nottoway County, Virginia",-709,-616
37009,NC,225,191,61,228,"Ashe County, North Carolina",-384,-609
72061,PR,-261,-297,28,-297,"Guaynabo Municipio, Puerto Rico",-865,-604
48341,TX,-1192,-1175,-3,-1181,"Moore County, Texas",-1795,-603
51079,VA,177,194,0,158,"Greene County, Virginia",-419,-596
12041,FL,733,680,89,736,"Gilchrist County, Florida",137,-596
22099,LA,-777,-757,-19,-703,"St. Martin Parish, Louisiana",-1369,-592
51800,VA,1504,1448,73,1472,"Suffolk city, Virginia",914,-590
17063,IL,-960,-695,-237,-913,"Grundy County, Illinois",-1547,-587
5021,AR,-134,-121,0,-177,"Clay County, Arkansas",-717,-583
72109,PR,32,12,0,22,"Patillas Municipio, Puerto Rico",-550,-582
72037,PR,8,5,11,38,"Ceiba Municipio, Puerto Rico",-572,-580
47109,TN,36,80,0,-77,"McNairy County, Tennessee",-543,-579
47115,TN,-299,-136,-133,-315,"Marion County, Tennessee",-869,-570
13103,GA,429,367,-8,422,"Effingham County, Georgia",-140,-569
12129,FL,466,400,55,451,"Wakulla County, Florida",-101,-567
18051,IN,-117,-30,-94,-191,"Gibson County, Indiana",-684,-567
17127,IL,-297,-285,-11,-293,"Massac County, Illinois",-864,-567
51073,VA,198,233,23,168,"Gloucester County, Virginia",-366,-564
42059,PA,-412,-329,-30,-213,"Greene County, Pennsylvania",-971,-559
36119,NY,-2377,-2160,-254,-2265,"Westchester County, New York",-2935,-558
12075,FL,1130,613,511,1061,"Levy County, Florida",574,-556
17039,IL,-371,-241,-42,-403,"De Witt County, Illinois",-924,-553
72149,PR,27,42,0,13,"Villalba Municipio, Puerto Rico",-525,-552
12027,FL,1634,-350,2027,1598,"DeSoto County, Florida",1083,-551
13099,GA,-154,-150,18,-91,"Early County, Georgia",-704,-550
35025,NM,-348,-405,49,-211,"Lea County, New Mexico",-896,-548
48259,TX,2915,2793,187,2815,"Kendall County, Texas",2368,-547
13003,GA,-122,-141,0,-193,"Atkinson County, Georgia",-666,-544
47143,TN,343,422,-39,341,"Rhea County, Tennessee",-199,-542
20139,KS,-276,-208,0,-180,"Osage County, Kansas",-815,-539
5123,AR,-496,-519,14,-526,"St. Francis County, Arkansas",-1035,-539
48449,TX,-98,-114,-20,-225,"Titus County, Texas",-636,-538
48015,TX,344,376,27,221,"Austin County, Texas",-194,-538
72095,PR,11,20,0,8,"Maunabo Municipio, Puerto Rico",-516,-527
72043,PR,-8,-12,0,-38,"Coamo Municipio, Puerto Rico",-534,-526
