"","Year","TOTAL_FROM_COUNTY","FROM_BUSINESS","FROM_FAMILY","FROM_INDIVIDUAL","FROM_PERM","FROM_TEMP","TOTAL_TO_COUNTY","TO_BUSINESS","TO_FAMILY","TO_INDIVIDUAL","TO_PERM","TO_TEMP","NET_COUNTY","NET_BUSINESS","NET_FAMILY","NET_INDIVIDUAL","NET_RES","NET_PERM","NET_TEMP","ams_res","ams_bus","ams_oth","ams_total","USPS_ZIP_PREF_CITY","USPS_ZIP_PREF_STATE","X","Y","ZIP_CLASS","CITY","STATE","STATECODE","STATENAME","COUNTY","COUNTYNM","MSA","AREACODE","AREACODES","TIMEZONE","GMTOFFSET","DST","PONAME","ALIAS_CITY","ALIAS_CITYN","CITY2","STATENAME2","RES_percent","BUS_percent","TOT_percent"
"48","2018",6713,0,1553,4567,5673,621,6061,0,1184,4250,5207,418,-652,0,-369,-317,-686,-466,-24,1339884,55480,22756,1418120,"COLD BROOK","NY",-74.963299,43.32077,NA,"Cold Brook",36,"NY","New York",43,"Herkimer",8680,315,"315/680","Eastern",-5,"Y","Cold Brook","Ohio","Grant||Gray||Morehouse||Morehouseville||Noblesboro","COLDBROOK","NEWYORK",-0.000511984619564082,0,-0.000328604067356782
"49","2018",423826,10422,128241,268317,393604,21092,388125,8279,105887,255869,360305,17798,-35701,-2143,-22354,-12448,-34802,-33299,-91,NA,NA,NA,NA,"WATERTOWN","NY",-75.90054,43.98444,NA,"Watertown",36,"NY","New York",45,"Jefferson",0,315,"315/680","Eastern",-5,"Y","Watertown","Glen Park",NA,"WATERTOWN","NEWYORK",NA,NA,NA
"50","2018",10770,31,1960,7118,9331,519,8730,27,1365,5858,7771,267,-2040,-4,-595,-1260,-1855,-1560,-40,3057588,133352,65632,3256572,"APALACHIN","NY",-76.137903,42.057017,NA,"Apalachin",36,"NY","New York",107,"Tioga",960,607,"607","Eastern",-5,"Y","Apalachin",NA,NA,"APALACHIN","NEWYORK",-0.000606687362718587,-2.99958005879177e-05,-0.000479031324963796
"51","2018",25459,262,6315,17659,22485,2474,21760,248,4620,15716,19622,1565,-3699,-14,-1695,-1943,-3638,-2863,0,3416596,245748,146340,3808684,"CASTLE CREEK","NY",-75.928088,42.225902,NA,"Castle Creek",36,"NY","New York",7,"Broome",960,607,"607","Eastern",-5,"Y","Castle Creek",NA,NA,"CASTLECREEK","NEWYORK",-0.0010648025110373,-5.69689275192474e-05,-0.0007517032129733
"52","2018",140664,1808,37692,95920,123121,14818,128432,1894,32653,88841,114417,10872,-12232,86,-5039,-7079,-12118,-8704,84,NA,NA,NA,NA,"AKRON","NY",-78.510497,43.016719,NA,"Akron",36,"NY","New York",29,"Erie",1280,716,"716","Eastern",-5,"Y","Akron",NA,NA,"AKRON","NEWYORK",NA,NA,NA
"53","2018",63096,1230,18255,41334,55226,7028,55491,773,14559,38024,50093,4387,-7605,-457,-3696,-3310,-7006,-5133,0,8403200,577224,214012,9194436,"ALEXANDER","NY",-78.252988,42.918368,NA,"Alexander",36,"NY","New York",37,"Genesee",6840,585,"585","Eastern",-5,"Y","Alexander",NA,NA,"ALEXANDER","NEWYORK",-0.000833730007616146,-0.000791720371987305,-0.000558272416056841
"54","2018",22713,168,5436,15943,19742,2368,21451,74,4941,15274,19051,1778,-1262,-94,-495,-669,-1164,-691,0,3584444,256956,100724,3942124,"APPLETON","NY",-78.637519,43.306841,NA,"Appleton",36,"NY","New York",63,"Niagara",1280,716,"716","Eastern",-5,"Y","Appleton",NA,NA,"APPLETON","NEWYORK",-0.000324736556073969,-0.000365821385762543,-0.000175286216263111
"55","2018",6265,13,1268,3770,5243,415,5242,0,923,3243,4462,218,-1023,-13,-345,-527,-872,-781,-26,2570556,128200,54232,2752988,"ARCADE","NY",-78.406548,42.569872,NA,"Arcade",36,"NY","New York",121,"Wyoming",0,585,"585","Eastern",-5,"Y","Arcade",NA,NA,"ARCADE","NEWYORK",-0.000339226221875734,-0.000101404056162246,-0.000283691756012013
"56","2018",8718,12,1666,5839,7534,473,7408,12,956,5122,6458,289,-1310,0,-710,-717,-1427,-1076,0,2574220,135784,84608,2794612,"DAYTON","NY",-78.98032,42.423665,NA,"Dayton",36,"NY","New York",9,"Cattaraugus",0,716,"716","Eastern",-5,"Y","Dayton",NA,NA,"DAYTON","NEWYORK",-0.00055434267467427,0,-0.000385026615501544
"57","2018",19014,178,4691,12186,15762,2296,16879,87,3616,11313,13874,2149,-2135,-91,-1075,-873,-1948,-1888,-81,3224532,197080,103200,3524812,"DUNKIRK","NY",-79.328465,42.479473,NA,"Dunkirk",36,"NY","New York",13,"Chautauqua",3610,716,"716","Eastern",-5,"Y","Dunkirk","Van Buren Bay",NA,"DUNKIRK","NEWYORK",-0.0006041186752062,-0.000461741424802111,-0.00053563140388764
"58","2018",47372,1191,11117,32697,43248,2567,44335,1007,10160,30583,40169,2675,-3037,-184,-957,-2114,-3071,-3079,-10,NA,NA,NA,NA,"LYNDONVILLE","NY",-78.377353,43.337372,NA,"Lyndonville",36,"NY","New York",73,"Orleans",6840,585,"585","Eastern",-5,"Y","Lyndonville",NA,NA,"LYNDONVILLE","NEWYORK",NA,NA,NA
"59","2018",268022,8576,71549,179849,242570,20943,247187,6258,64659,167754,223714,18834,-20835,-2318,-6890,-12095,-18985,-18856,0,NA,NA,NA,NA,NA,NA,-71.811241,42.677809,NA,"Ashby",25,"MA","Massachusetts",17,"Middlesex",1120,978,"978/351","Eastern",-5,"Y","Ashby",NA,NA,"ASHBY","MASSACHUSETTS",NA,NA,NA
